国家,主教练,国籍/年龄,任期,代表执教生涯,重大荣誉
墨西哥,哈维尔·阿吉雷 Javier Aguirre,墨西哥/67,2024-,墨西哥队(2001-02/2009-10)、日本队(2014-15/2018)、埃及队(2018-19)、西甲莱万特/马竞助教,金杯赛 2009 2002韩日世界杯16强
南非,雨果·布罗斯 Hugo Broos,比利时/74,2021-,"布鲁日(比甲冠军2次 1991-92/92-93)/安德莱赫特(比甲冠军)/比利时队(2010-12)/喀麦隆队(2016-17, 非洲杯冠军2017)/南非队(2021-)",非洲杯冠军 2017 比甲冠军3次 带领南非时隔16年再进世界杯(2010后首次)
韩国,洪明甫 Hong Myung-bo,韩国/56,2023-2026(带队参加2024亚洲杯),韩国队(2013-14)/中超广州富力/杭州绿城助教/韩国U23主帅,2002韩日世界杯4强队长(球员时代) 亚洲杯冠军(球员时代)/奥运铜牌
捷克,伊万·哈谢克 Ivan Hašek,捷克/62,2023-,捷克队(2009-11/2018-21)、沙特队(2022世界杯)、法甲/西亚多队,捷克冠军联赛 1995/96
加拿大,杰西·马什 Jesse Marsch,美国/52,2024-,"利兹联(2022-23)、RB萨尔茨堡(2019-22, 奥甲+杯赛双冠)、纽约红牛/贝西克塔斯",奥甲冠军 2021/22 奥地利杯 2022 MLS东部冠军 2015/18
波黑,塞尔杰·巴巴雷兹 Sergej Barbarez (波黑),波黑/54岁,2024 - 至今,"前波黑国脚, 德甲/汉堡队长","率波黑附加赛淘汰意大利, 时隔12年再入世界杯"
卡塔尔,胡伦·洛佩特吉 Julen Lopetegui,西班牙/59,2025-2026,"西班牙队(2016-18, 世预赛不败+2018世界杯临阵被解雇)/皇马(2018短期)/狼队(2022-23)/西汉姆联(2024)/塞维利亚(欧联冠军2019-20)",欧联冠军 2020 西班牙U19/U21欧青赛冠军 2012 2013
瑞士,穆拉特·雅金 Murat Yakin,瑞士/50,2021-,"巴塞尔(2014-15/2018-21, 瑞超冠军 2017)、苏黎世草蜢",瑞超冠军 2017 欧青赛8强
巴西,卡洛·安切洛蒂 Carlo Ancelotti,意大利/66,2024-,"皇马(2021-25, 西甲+欧冠双冠)/切尔西(09-11, 英超+足总杯)/拜仁(16-17, 德甲)/巴黎/AC米兰(01-09, 欧冠+意甲2次)/尤文/那不勒斯",欧冠3次 2003/07/14 西甲2次 2022/24 英超+足总杯 2010 德甲+德国超级杯 2017 意甲+意大利杯 2004 法甲 2013 世俱杯2次 2014/22 FIFA年度最佳教练 2013/14
摩洛哥,穆罕默德·瓦赫比 Mohamed Ouahbi,摩洛哥/49 (比利时出生),2026.3-,"摩洛哥U-20(2025, 世青赛冠军2-0阿根廷决赛)/助理Joao Sacramento(葡萄牙)",U-20世青赛冠军 2025 (接替雷格拉吉, 无成年国家队履历)
