国家,球员,availability,note
西班牙,拉明·亚马尔,0.5,腘绳肌撕裂近2月 首轮19分钟 本人承认打不满90分钟
西班牙,尼科·威廉姆斯,0.7,左腿伤恢复中 比亚马尔好
西班牙,维克托·穆尼奥斯,0.0,腿筋伤 预计继续缺席
西班牙,罗德里戈·埃尔南德斯,1.0,首战6次穿透传球 全状态
西班牙,佩德里,1.0,首战首发 全状态
西班牙,法比安·鲁伊斯,1.0,首战首发
巴西,维尼修斯,0.95,首轮1-1摩洛哥进球 但有软脚嫌疑+肌肉疲劳史
巴西,拉菲尼亚,0.3,vs海地第40分钟受伤 媒体猜测可能错过后续比赛
巴西,内马尔,0.0,34岁 仍未伤愈 缺阵vs摩洛哥和海地
巴西,库尼亚,0.9,vs海地梅开二度
法国,基利安·姆巴佩,1.0,4月底肌肉伤已100%恢复 法国队长
法国,奥斯曼·登贝莱,0.85,身价1500万欧 速度型 有伤病史但首轮状态好
阿根廷,梅西,0.7,39岁体能下降 大赛统筹+定位球核心
阿根廷,劳塔罗·马丁内斯,1.0,中锋 状态火热
阿根廷,恩佐·费尔南德斯,1.0,中场核心
英格兰,裘德·贝林厄姆,0.9,首战状态好 但有肩伤隐患
挪威,埃尔林·哈兰德,1.0,首轮vs伊拉克2球打满全场
挪威,马丁·厄德高,1.0,中场指挥官
土耳其,哈坎·恰尔汗奥卢,0.6,小腿旧伤反复 首战0-2澳洲全场被压制
沙特,萨利姆·多萨里,0.85,34岁老将 反击核心
沙特,穆罕默德·奥韦斯,1.0,首战9扑救 神勇
埃及,穆罕默德·萨拉赫,0.9,利物浦核心
葡萄牙,克里斯蒂亚诺·罗纳尔多,0.95,41岁但仍首发 体能注意英格兰,哈里·凯恩,1.0,背部小伤已恢复 拜仁本赛季18球
英格兰,德克兰·赖斯,1.0,阿森纳主力后腰
英格兰,布卡约·萨卡,1.0,阿森纳主力边锋
英格兰,马库斯·拉什福德,0.95,巴萨状态回暖
阿根廷,克里斯蒂安·罗梅罗,0.0,右膝韧带伤5-8周 大概率缺首战
阿根廷,冈萨洛·蒙铁尔,0.5,股四头肌撕裂
阿根廷,纳韦尔·莫利纳,0.6,大腿肌肉一级撕裂
阿根廷,埃米利亚诺·马丁内斯,0.7,右手无名指骨折
阿根廷,胡利安·阿尔瓦雷斯,0.85,脚踝伤
阿根廷,尼古拉斯·冈萨雷斯,0.5,训练中肌肉伤
阿根廷,利桑德罗·马丁内斯,0.85,曼联状态
阿根廷,亚历克西斯·麦卡利斯特,1.0,利物浦中场
阿根廷,阿莱杭德罗·加纳乔,0.95,曼联边锋
德国,弗洛里安·维尔茨,1.0,利物浦7球10助 全状态
德国,凯·哈弗茨,1.0,阿森纳 伤后已恢复
德国,贾马尔·穆西亚拉,0.85,腓骨骨折后恢复 拜仁5球6助
德国,勒鲁瓦·萨内,0.85,加拉塔萨雷
德国,马克西米利安·拜尔,0.95,多特蒙德
德国,尼科·施洛特贝克,0.0,vs科特迪瓦疑似韧带伤 大概率报销
德国,费利克斯·恩梅加,0.4,膝外侧副韧带伤 5月才复出
德国,亚历山大·帕夫洛维奇,0.85,拜仁 髋部不适已愈
德国,安东尼奥·吕迪格,0.85,皇马主力中卫
德国,约纳坦·塔,1.0,拜仁主力
德国,大卫·劳姆,1.0,RB莱比锡
德国,曼努埃尔·诺伊尔,0.95,小腿轻伤已恢复
德国,奥利弗·鲍曼,1.0,霍芬海姆 主力门将
乌拉圭,达尔文·努涅斯,0.9,利雅得新月
乌拉圭,费德里科·巴尔韦德,1.0,皇马中场核心
乌拉圭,罗德里戈·本坦库尔,0.85,热刺
乌拉圭,马克西米利亚诺·阿劳霍,0.9,葡萄牙体育
乌拉圭,何塞·希门尼斯,0.95,马竞
乌拉圭,路易斯·苏亚雷斯,0.0,未入选 退役
